X,Y,SP_ID,CVEGEO,Den2012,Den2013,Den2014,Den2015
232315.960596097,2319316.16297488,"344","3105000014814",16,11,7,7
232425.985917168,2318756.27822431,"345","3105000014829",22,16,9,5
228609.661570233,2325898.70362421,"346","3105000014833",5,3,1,2
228578.019710175,2325412.37177035,"347","3105000014848",10,2,4,3
229547.695315552,2323179.92712407,"348","3105000014852",15,7,2,2
229742.466732288,2322918.56492951,"349","3105000014867",9,9,1,8
222661.625532947,2326453.84841992,"350","3105000014871",7,1,1,0
219822.886086204,2319258.38873527,"351","3105000014886",2,5,0,1
220013.902030308,2318805.61010692,"352","3105000014890",1,6,0,1
225265.731490957,2331278.53658465,"353","3105000014903",1,0,1,3
222626.481685876,2325095.37547243,"354","3105000014937",8,3,1,0
228443.407618589,2330433.94861852,"355","3105000014960",0,0,0,1
233449.76719311,2326961.4156216,"356","3105000014975",1,0,1,1
234038.408949915,2325337.73032857,"357",310500001498A,4,0,0,0
228329.952535808,2328190.34692474,"358","3105000014994",17,0,0,1
229151.143485356,2327950.24887472,"359","3105000015009",3,2,0,3
231945.269542286,2325940.80200738,"360","3105000015013",2,3,0,6
231733.966087709,2325519.67627562,"361","3105000015028",4,4,1,0
232032.240413241,2322524.51227513,"362","3105000015032",16,5,5,25
232856.519105603,2322566.59212489,"363","3105000015047",15,3,3,29
231310.367330386,2324241.53802487,"364","3105000015051",5,3,0,1
231795.322516726,2323993.1245204,"365","3105000015066",3,1,1,8
224340.000767236,2320768.43149267,"366","3105000015070",35,7,5,57
224832.196541044,2320765.97350287,"367","3105000015085",19,9,11,24
223424.466639087,2322825.14181768,"368",310500001509A,32,6,4,11
223531.518494195,2322417.74181306,"369","3105000015102",31,15,4,7
226874.685542523,2315431.27489571,"370","3105000015117",31,8,3,18
227287.701183648,2315081.08252446,"371","3105000015121",11,7,6,24
228162.065044089,2315743.2950571,"372","3105000015136",12,5,5,10
228655.438892549,2315894.90546174,"373","3105000015140",34,27,17,18
225517.003886247,2314966.44462426,"374","3105000015155",38,14,8,18
225413.161104762,2314122.79571566,"375",310500001516A,30,11,5,39
233298.75378324,2326197.01187535,"376","3105000015174",2,2,1,1
233179.315711125,2325535.05732525,"377","3105000015189",5,2,0,1
228195.272910942,2322970.94662485,"378","3105000015210",20,10,11,14
227987.727293612,2321994.45262257,"379","3105000015225",18,9,12,15
229359.649502085,2324829.43165434,"380",310500001523A,9,3,5,3
229266.633414665,2324272.89217479,"381","3105000015244",6,7,0,7
229956.022386276,2324241.10967546,"382","3105000015259",12,10,3,18
229213.793852106,2323620.00727454,"383","3105000015263",7,10,2,8
229576.637976437,2321237.50097406,"384","3105000015278",25,13,7,23
229779.368887353,2320788.25077469,"385","3105000015282",18,7,4,14
230165.254390937,2321478.44432289,"386","3105000015297",19,18,8,27
230304.380505047,2320828.3590743,"387",310500001530A,31,23,15,148
227081.769606673,2318087.25887487,"388","3105000015314",10,8,11,30
227083.978788602,2317747.39762484,"389","3105000015329",16,13,8,23
225589.055150797,2317326.77817411,"390","3105000015333",16,9,4,35
226251.685640706,2317207.04047469,"391","3105000015348",11,13,8,20
221149.222998781,2316843.06537523,"392","3105000015386",10,4,0,4
222460.24974669,2317810.0228737,"393","3105000015390",2,2,0,1
232295.538281596,2327309.28647507,"394","3105000015418",5,2,0,3
226801.575268485,2314018.49797556,"395","3105000015422",0,0,0,1
